Text,Sentiment
I love this product!,Positive
This is the worst movie ever,Negative
Absolutely fantastic service,Positive
I will never buy this again,Negative
"Not bad, could be better",Neutral
The device works perfectly.,Positive
"device works, but not great.",Neutral
The item works perfectly.,Positive
appliance is fantastic!,Positive
Worst appliance I've ever used.,Negative
I'm satisfied with my service.,Positive
tool could be better.,Neutral
I absolutely love this device!,Positive
tool is fantastic!,Positive
Worst product I've ever used.,Negative
service doesn't work as advertised.,Negative
The appliance works perfectly.,Positive
Do not buy this gadget.,Negative
Very happy with this gadget.,Positive
item broke after one use.,Negative
I hate this device.,Negative
I absolutely love this purchase!,Positive
service could be better.,Neutral
The device is amazing.,Positive
Very disappointed with gadget.,Negative
I'm satisfied with my device.,Positive
I absolutely love this tool!,Positive
Very happy with this appliance.,Positive
Highly recommend the tool.,Positive
tool broke after one use.,Negative
service is neither good nor bad.,Neutral
tool is neither good nor bad.,Neutral
appliance is a waste of money.,Negative
Very happy with this gadget.,Positive
appliance is fantastic!,Positive
The service works perfectly.,Positive
service is okay.,Neutral
purchase is fantastic!,Positive
gadget is fantastic!,Positive
I absolutely love this gadget!,Positive
purchase does its job.,Neutral
item exceeded my expectations.,Positive
item is average.,Neutral
device could be better.,Neutral
Very happy with this product.,Positive
appliance is neither good nor bad.,Neutral
The appliance works perfectly.,Positive
appliance is fantastic!,Positive
Nothing special about the appliance.,Neutral
product is average.,Neutral
tool exceeded my expectations.,Positive
service is fine for the price.,Neutral
gadget is average.,Neutral
gadget is terrible.,Negative
device exceeded my expectations.,Positive
I absolutely love this gadget!,Positive
Very happy with this appliance.,Positive
gadget is fine for the price.,Neutral
item broke after one use.,Negative
The appliance works perfectly.,Positive
Very happy with this tool.,Positive
Nothing special about the device.,Neutral
Very disappointed with tool.,Negative
purchase is neither good nor bad.,Neutral
item does its job.,Neutral
purchase is okay.,Neutral
I absolutely love this product!,Positive
I absolutely love this tool!,Positive
product is average.,Neutral
appliance exceeded my expectations.,Positive
I hate this device.,Negative
I'm satisfied with my purchase.,Positive
tool does its job.,Neutral
Very disappointed with product.,Negative
The product is amazing.,Positive
tool is fine for the price.,Neutral
product broke after one use.,Negative
product exceeded my expectations.,Positive
Very disappointed with service.,Negative
I'm satisfied with my device.,Positive
Nothing special about the item.,Neutral
The purchase is amazing.,Positive
appliance is fine for the price.,Neutral
item doesn't work as advertised.,Negative
Highly recommend the gadget.,Positive
The purchase is amazing.,Positive
item is a waste of money.,Negative
I absolutely love this product!,Positive
I'm satisfied with my tool.,Positive
Very happy with this purchase.,Positive
item is terrible.,Negative
Very disappointed with item.,Negative
I hate this purchase.,Negative
appliance is a waste of money.,Negative
product is average.,Neutral
The product is amazing.,Positive
tool could be better.,Neutral
I'm satisfied with my purchase.,Positive
product is neither good nor bad.,Neutral
I hate this service.,Negative
purchase is fantastic!,Positive
item is fine for the price.,Neutral
item exceeded my expectations.,Positive
item is neither good nor bad.,Neutral
appliance is okay.,Neutral
